Time,F-5
1105.70361,-2.834993704
1107.08047,-2.772482834
1108.50096,-3.167548554
1109.90395,-3.336095574
1111.29105,-3.099890014
1112.7108,-3.122408034
1114.13131,-3.150176334
1115.56089,-3.174782024
1116.96526,-2.982220194
1118.34986,-3.229953034
1119.77247,-3.281985634
1121.18833,-2.949892174
1122.5939,-3.113356994
1124.02018,-3.265469624
1125.44557,-3.345915874
1126.87417,-3.011858214
1128.26741,-2.880300294
1129.65038,-3.118580064
1131.06264,-3.088609624
1132.43211,-3.089765014
1133.85435,-3.163107444
1135.28109,-3.140879434
1136.68496,-3.183303944
1138.06896,-3.014856694
1139.48242,-3.325584694
1140.90779,-3.230846644
1142.31651,-2.927213634
1143.74664,-3.289381434
1145.17537,-3.011732714
1146.58986,-3.023824534
1148.00146,-3.005030544
1149.3777,-3.247640244
1150.80606,-3.125871494
1152.22643,-2.983091194
1153.63093,-2.835426054
1155.00378,-3.300240764
1156.42888,-3.093236654
1157.85762,-3.455399984
1159.27386,-2.985680084
1160.68472,-3.375778824
1162.05971,-3.242917934
1163.46644,-3.142202554
1164.84594,-3.229438464
1166.28217,-3.136273034
1167.68306,-3.362104784
1169.09851,-3.325431284
1170.52616,-3.293424404
1171.94284,-3.080365744
1173.3736,-3.435917174
1174.77472,-3.302600734
1176.20595,-3.340374804
1177.63244,-3.258971934
1179.03205,-3.234352984
1180.4138,-3.421852554
1181.84152,-3.374129224
1183.26414,-3.071759554
1184.6865,-3.323826684
1186.09711,-3.364384344
1187.51972,-3.142612194
1188.94973,-3.474110414
1190.3541,-3.353646244
1191.77233,-3.360550484
1193.20642,-3.351663424
1194.62179,-3.262949974
1196.03064,-3.261756834
1197.46001,-3.469922294
1198.88862,-3.244502564
1200.3071,-3.070408284
1201.70772,-3.255391064
1203.13783,-3.590677464
1204.56019,-3.286848554
1205.98755,-3.297969084
1207.39453,-3.346265634
1208.8179,-3.413520924
1210.24625,-3.345238524
1211.64262,-3.541409474
1213.02548,-3.409297804
1214.45271,-3.560052344
1215.8797,-3.239295044
1217.28394,-3.691192104
1218.7193,-3.374287634
1220.12867,-3.232945724
1221.55603,-3.518820644
1222.96439,-3.380528294
1224.38666,-3.788877854
1225.81787,-3.304236534
1227.23575,-3.253448134
1228.64609,-3.135421144
1230.06807,-3.324921694
1231.48943,-3.387515754
1232.91754,-3.553388724
1234.32566,-3.429438804
1235.74853,-3.452131324
1237.17013,-3.464860154
1238.58151,-3.422395454
1240.01499,-3.584055444
1241.42671,-3.075744804
1242.8402,-3.297549204
1244.26169,-3.237373134
1245.75043,-3.544410614
1247.21242,-3.356405734
1248.6384,-3.824305594
1250.04714,-3.472961994
1251.47662,-3.662710924
1252.89261,-3.452070744
1254.30561,-3.182359354
1255.73871,-3.496436804
1257.15485,-3.376165904
1258.59068,-3.385949724
1259.98558,-3.393325264
1261.41527,-3.295683974
1262.84976,-3.596290404
1264.2495,-3.384005124
1265.67537,-3.416624394
1267.0886,-3.382040634
1268.50146,-3.353525864
1269.93195,-3.359990074
1271.34668,-3.366538154
1272.77118,-3.214428004
1274.19793,-3.413946244
1275.62889,-3.567503884
1277.03427,-3.187920144
1278.45262,-3.506785184
1279.88937,-3.450261754
1281.28459,-3.680244264
1282.71722,-3.666298544
1284.14407,-3.876442544
1285.54519,-3.649696854
1286.98055,-3.513189534
1288.38528,-3.589672124
1289.82239,-3.453602164
1291.22988,-3.619441224
1292.65524,-3.684328824
1294.08061,-3.800865094
1295.48159,-3.655702804
1296.91533,-3.334618824
1298.34356,-3.267545824
1299.75156,-3.546054854
1301.18391,-3.535334934
1302.5834,-3.471237314
1304.01726,-3.683839294
1305.42451,-3.691222914
1306.86324,-3.756075124
1308.27398,-3.562311194
1309.69326,-3.655429674
1311.1292,-3.370167594
1312.55655,-3.672939854
1313.95942,-3.503593224
1315.37766,-3.651754754
1316.80415,-3.799713174
1318.21362,-3.726312624
1319.64249,-3.325189784
1321.05748,-3.483707324
1322.46771,-3.219006674
1323.90222,-3.582869044
1325.32731,-3.675896414
1326.75555,-3.489493784
1328.14603,-3.793352124
1329.57452,-3.563382674
1330.99965,-3.413617594
1332.407,-3.595938794
1333.84298,-3.719804714
1335.25448,-3.640268024
1336.68084,-3.752482634
1338.10169,-3.463248834
1339.53007,-3.472263334
1340.94204,-3.595489144
1342.35828,-3.793605484
1343.79226,-3.685115994
1345.19187,-3.878132184
1346.61899,-3.868253454
1348.0491,-3.882242024
1349.45208,-3.692101764
1350.88183,-3.394866844
1352.29656,-3.812207254
1353.73167,-3.892353364
1355.14453,-3.902299294
1356.55052,-3.952855434
1357.98351,-3.732683774
1359.38449,-3.710647394
1360.81686,-3.717693504
1362.24572,-3.598921254
1363.6547,-3.959523014
1365.08744,-3.344297154
1366.48868,-3.850498394
1367.91954,-3.788315764
1369.35153,-3.630627094
1370.75553,-3.650017514
1372.19187,-3.868460594
1373.59974,-3.407474254
1375.01209,-3.806379524
1376.41996,-3.628900814
1377.83621,-3.905864644
1379.25569,-3.535506494
1380.62704,-3.773166834
1382.0409,-3.790526754
1383.41264,-3.997066394
1384.84013,-3.882228144
1386.24562,-3.605355904
1387.62261,-3.939481374
1389.04334,-3.873654584
1390.46295,-3.992114514
1391.87432,-3.653513934
1393.2942,-3.723407034
1394.67941,-3.702066394
1396.09265,-3.705590424
1397.50601,-3.951737294
1398.87825,-3.866831754
1400.26362,-3.978132114
1401.67734,-3.817996364
1403.08771,-3.907197954
1404.46157,-3.820596414
1405.88468,-3.643083114
1407.30805,-3.675707664
1408.71181,-3.770671204
1410.0859,-3.653235914
1411.5165,-3.687718724
1412.92789,-4.065264194
1414.34185,-3.703051984
1415.73059,-3.745183694
1417.13433,-3.658556144
1418.5587,-3.853900484
1419.97193,-3.997323704
1421.40794,-4.075851324
1422.83578,-3.740329554
1424.23004,-3.941619694
1425.62037,-4.115817954
1427.03276,-3.820340254
1428.44459,-3.852005894
1429.81534,-3.663995254
1431.1971,-4.017236034
1432.61219,-3.996067514
1434.02184,-3.967453834
1435.39728,-3.826125384
1436.82081,-3.706720204
1438.24288,-3.911323644
1439.66302,-3.842847214
1441.07261,-3.737152434
1442.50359,-3.817243494
1443.90772,-3.909632454
1445.33522,-3.951987414
1446.7608,-3.881723364
1448.17443,-4.030947734
1449.60465,-3.996001284
1451.01653,-4.035586154
1452.43951,-3.996558214
1453.87189,-3.946200844
1455.26372,-3.787063064
1456.69372,-3.899752014
1458.12108,-3.934945744
1459.5468,-4.199209554
1460.95242,-4.005902264
1462.33006,-3.890933534
1463.75078,-3.926224874
1465.18476,-3.879063744
1466.58725,-3.990252254
1468.00873,-3.623530284
1469.43259,-4.205231684
1470.83883,-3.876562414
1472.21845,-3.787155194
1473.64843,-4.190091604
1475.05729,-3.995394194
1476.48903,-4.083137944
1477.89163,-3.916287844
1479.32324,-3.807666054
1480.75024,-3.844968234
1482.14811,-3.836208714
1483.57796,-4.188119454
1485.00182,-3.985615714
1486.43181,-4.066854414
1487.84842,-4.128341384
1489.25091,-4.075682894
1490.68052,-4.211983864
1492.09113,-3.807067054
1493.47149,-3.894083604
1494.89923,-4.108092684
1496.31259,-4.099478594
1497.74558,-4.043424704
1499.15544,-3.650975644
1500.5707,-3.847252324
1501.99929,-4.071594144
1503.42166,-3.951887224
1504.82688,-4.280127504
1506.26075,-4.157684784
1507.67111,-4.055675494
1509.10284,-4.058936664
1510.5062,-4.356407334
1511.93682,-4.330475934
1513.3648,-4.062637524
1514.76329,-4.448781924
1516.20515,-4.370258534
1517.61028,-4.101332994
1519.04213,-4.142145224
1520.45349,-3.917355534
1521.87036,-3.979803704
1523.27909,-4.522346634
1524.70583,-3.997739184
1526.13444,-3.908650854
1527.55967,-4.137505244
1528.97416,-3.946800404
1530.39567,-4.324523364
1531.80688,-4.385070904
1533.2375,-3.936808324
1534.64898,-4.034133154
1536.0601,-3.977134564
1537.49633,-4.215470444
1538.90582,-3.976921804
1540.34183,-4.290877564
1541.75005,-4.147766654
1543.16653,-4.155940434
1544.60451,-4.227447684
1545.99839,-4.176369394
1547.43131,-4.190728234
1548.86185,-4.095125514
1550.25396,-4.194895114
1551.69009,-4.524262024
1553.10418,-4.269970944
1554.54417,-4.250536304
1555.9711,-4.237480674
1557.36978,-4.298709934
1558.80926,-4.487040614
1560.21462,-4.531058944
1561.64636,-4.061918934
1563.05859,-4.180546434
1564.47284,-4.350688064
1565.87757,-4.371708284
1567.25718,-4.261368614
1568.68779,-4.291136614
1570.10766,-4.368288044
1571.53689,-4.332823954
